17-3013	AL	58780	0	33920	0	52110	0	96070	0
17-3019	AL	42730	0	25940	0	40320	0	63290	0
17-3021	AL	62290	0	33460	0	61810	0	95370	0
17-3022	AL	40110	0	26540	0	36790	0	58790	0
17-3023	AL	59700	0	35190	0	59250	0	86660	0
17-3024	AL	51890	0	38590	0	47460	0	74370	0
17-3025	AL	56390	0	31530	0	52100	0	85880	0
17-3026	AL	58690	0	35210	0	58320	0	80500	0
17-3027	AL	53480	0	33430	0	53370	0	76670	0
17-3029	AL	62780	0	33390	0	61480	0	92740	0
17-3031	AL	39850	0	22070	0	36610	0	62890	0
19-1013	AL	61880	0	40710	0	50880	0	97320	0
19-1021	AL	90920	0	52170	0	84520	0	158890	0
19-1022	AL	71170	0	34810	0	68070	0	123920	0
19-1023	AL	62490	0	41390	0	60990	0	90660	0
19-1029	AL	62450	0	33460	0	66360	0	81910	0
19-1031	AL	71780	0	47320	0	74180	0	91260	0
19-1032	AL	57640	0	35760	0	55160	0	78360	0
19-1041	AL	63550	0	46590	0	66280	0	78020	0
19-1042	AL	56980	0	37620	0	48570	0	75090	0
19-1099	AL	107000	0	69440	0	100010	0	157760	0
19-2012	AL	126350	0	59520	0	122740	0	182160	0
19-2021	AL	83340	0	52690	0	82320	0	116950	0
19-2031	AL	78450	0	45070	0	73350	0	123220	0
19-2032	AL	89740	0	46820	0	84840	0	152120	0
19-2041	AL	61090	0	36820	0	57320	0	91120	0
19-2042	AL	81680	0	42740	0	72420	0	125070	0
19-2099	AL	72510	0	28540	0	65280	0	124930	0
19-3031	AL	77980	0	41060	0	57170	0	171170	0
19-3039	AL	91100	0	58560	0	94590	0	108510	0
19-3051	AL	60680	0	36150	0	59980	0	88300	0
19-3091	AL	45390	0	27670	0	43990	0	62250	0
19-3093	AL	64280	0	34070	0	58350	0	105140	0
19-3099	AL	81530	0	56450	0	76140	0	110270	0
19-4011	AL	47160	0	26430	0	45270	0	72690	0
19-4021	AL	37200	0	24070	0	36190	0	53170	0
19-4031	AL	48750	0	25840	0	47330	0	74880	0
19-4041	AL	53660	0	31940	0	47070	0	92760	0
19-4051	AL	67010	0	38680	0	70730	0	84650	0
19-4091	AL	47100	0	24570	0	44840	0	72430	0
19-4092	AL	55650	0	35330	0	47970	0	94460	0
19-4093	AL	44430	0	32160	0	43790	0	57270	0
19-4099	AL	38710	0	21810	0	35540	0	59690	0
21-1011	AL	41420	0	25450	0	38880	0	62300	0
21-1012	AL	51870	0	32930	0	53310	0	71380	0
21-1013	AL	39760	0	25780	0	40470	0	51280	0
21-1014	AL	46940	0	31410	0	44670	0	68770	0
21-1015	AL	36330	0	17810	0	32250	0	60240	0
21-1019	AL	40630	0	19190	0	36430	0	62460	0
21-1021	AL	41180	0	25860	0	38450	0	61590	0
21-1022	AL	46900	0	29190	0	45890	0	66570	0
21-1023	AL	36770	0	23920	0	33570	0	55550	0
21-1029	AL	61270	0	29720	0	66370	0	79550	0
21-1091	AL	43000	0	25390	0	38240	0	69320	0
21-1092	AL	46150	0	29610	0	44850	0	67050	0
21-1093	AL	25970	0	16800	0	23960	0	38710	0
21-1094	AL	41220	0	20120	0	34700	0	78640	0
21-1099	AL	38150	0	18660	0	34330	0	71240	0
21-2011	AL	42890	0	20110	0	41440	0	67120	0
21-2021	AL	41390	0	20840	0	34170	0	74880	0
21-2099	AL	24360	0	16310	0	19190	0	45780	0
23-1011	AL	114820	0	52290	0	99860	0	187200	1
23-1021	AL	127500	0	66770	0	148850	0	167370	0
23-1022	AL	63060	0	33740	0	64770	0	89260	0
23-1023	AL	62250	0	29150	0	47890	0	115750	0
23-2011	AL	44430	0	26950	0	41930	0	63360	0
23-2091	AL	38340	0	16770	0	35610	0	60950	0
23-2093	AL	32980	0	19400	0	33330	0	47240	0
23-2099	AL	50880	0	33510	0	48210	0	62930	0
25-1011	AL	91140	0	33630	0	73940	0	174370	0
25-1021	AL	92670	0	50400	0	80150	0	153720	0
25-1022	AL	71120	0	40380	0	61500	0	119960	0
25-1031	AL	99180	0	66530	0	97130	0	143010	0
25-1032	AL	128580	0	65180	0	121950	0	187200	1
25-1041	AL	103120	0	50970	0	99740	0	156810	0
25-1042	AL	85770	0	43590	0	72960	0	147660	0
25-1051	AL	95900	0	39570	0	85180	0	158860	0
25-1052	AL	77510	0	43700	0	68200	0	122060	0
25-1053	AL	75520	0	42430	0	71260	0	114570	0
25-1054	AL	90610	0	47330	0	84370	0	148380	0
25-1063	AL	114040	0	31360	0	96530	0	187200	1
25-1064	AL	85070	0	51640	0	78660	0	139080	0
25-1065	AL	81020	0	52520	0	71350	0	123690	0
25-1066	AL	77640	0	35320	0	67620	0	127560	0
25-1067	AL	65510	0	38890	0	62090	0	94660	0
25-1072	AL	59510	0	19250	0	58320	0	93750	0
25-1081	AL	74010	0	34480	0	70910	0	118390	0
25-1082	AL	64960	0	43120	0	61530	0	91820	0
25-1111	AL	72750	0	43140	0	62250	0	118710	0
25-1112	AL	86290	0	32960	0	42720	0	187200	1
25-1113	AL	72990	0	37000	0	67710	0	114120	0
25-1121	AL	62860	0	33080	0	60940	0	95080	0
25-1122	AL	72440	0	41720	0	63320	0	122460	0
25-1123	AL	57850	0	32790	0	56630	0	81860	0
25-1124	AL	66850	0	41020	0	62920	0	96370	0
25-1125	AL	66930	0	30500	0	64710	0	97560	0
25-1126	AL	72650	0	43030	0	66090	0	112960	0
25-1191	AL	18460	0	16000	0	17960	0	21010	0
25-1192	AL	83720	0	35590	0	82050	0	133080	0
25-1193	AL	60730	0	23150	0	56500	0	94220	0
25-1194	AL	38600	0	16890	0	37900	0	66850	0
25-1199	AL	*	0	*	0	*	0	*	0
25-2011	AL	28400	0	17790	0	26570	0	43060	0
25-2012	AL	46700	0	33680	0	47820	0	60360	0
25-2021	AL	49700	0	38760	0	50390	0	61510	0
25-2022	AL	48890	0	37540	0	48800	0	61090	0
25-2023	AL	50730	0	40190	0	52630	0	61860	0
25-2031	AL	49960	0	37740	0	49980	0	62150	0
25-2032	AL	52460	0	40540	0	52940	0	63910	0
25-2051	AL	39980	0	21680	0	34770	0	61780	0
25-2052	AL	50400	0	37840	0	51720	0	61670	0
25-2053	AL	48760	0	36420	0	49470	0	60940	0
25-2054	AL	51150	0	40830	0	52460	0	61460	0
25-2059	AL	55370	0	39570	0	60520	0	66370	0
25-3011	AL	38030	0	17590	0	38240	0	57660	0
25-3021	AL	36800	0	16910	0	36560	0	59950	0
25-3097	AL	34910	0	16450	0	22180	0	72220	0
25-3098	AL	17670	0	16040	0	17890	0	19810	0
25-4011	AL	58620	0	32460	0	61620	0	81550	0
25-4012	AL	51290	0	23880	0	52660	0	74920	0
25-4013	AL	37730	0	26080	0	38350	0	53240	0
25-4021	AL	52620	0	35590	0	53800	0	65410	0
25-4031	AL	28640	0	19040	0	27150	0	41910	0
25-9011	AL	25720	0	19250	0	23000	0	38710	0
25-9021	AL	52470	0	27880	0	53920	0	74830	0
25-9031	AL	67830	0	42440	0	66300	0	95480	0
