13-2053	Insurance underwriters	annual	72650	0	38960	0	65040	0	116600	0	bachelor	103.4	91.6	-11.4	19.5
13-2061	Financial examiners	annual	88310	0	45540	0	78010	0	149390	0	bachelor	38.2	42	9.7	13.1
13-2071	Credit counselors	annual	49310	0	30320	0	43840	0	74500	0	bachelor	32.6	37.6	15.5	10.5
13-2072	Loan officers	annual	75170	0	32870	0	63430	0	130630	0	bachelor	303.2	327.7	8.1	75
13-2081	Tax examiners and collectors, and revenue agents	annual	57280	0	31660	0	51430	0	96060	0	bachelor	67.9	63.7	-6.2	27.8
13-2099	Financial specialists, all other	annual	72480	0	37360	0	66670	0	112140	0	bachelor	145.2	152.3	4.9	21.9
15-1111	Computer and information research scientists	annual	115580	0	64300	0	110620	0	170610	0	doctoral or professional	25.6	28.3	10.7	6
15-1121	Computer systems analysts	annual	90180	0	51910	0	85800	0	135450	0	bachelor	567.8	686.3	20.9	191.6
15-1122	Information security analysts	annual	93250	0	51280	0	90120	0	143770	0	bachelor	82.9	97.7	17.9	25.5
15-1131	Computer programmers	annual	84360	0	44450	0	79530	0	130800	0	bachelor	328.6	302.2	-8	81
15-1132	Software developers, applications	annual	102160	0	57340	0	98260	0	153710	0	bachelor	718.4	853.7	18.8	238
15-1133	Software developers, systems software	annual	108760	0	64600	0	105570	0	159850	0	bachelor	395.6	447	13	107.9
15-1141	Database administrators	annual	84250	0	45460	0	81710	0	127080	0	bachelor	120	133.4	11.1	39.2
15-1142	Network and computer systems administrators	annual	82200	0	47460	0	77810	0	124090	0	bachelor	382.6	412.8	7.9	79.4
15-1143	Computer network architects	annual	103100	0	56230	0	100240	0	155250	0	bachelor	146.2	158.9	8.7	31.5
15-1199	Computer occupations, all other	annual	87310	0	45320	0	85240	0	129700	0	bachelor	233	240.8	3.3	37.7
15-2011	Actuaries	annual	110560	0	58290	0	97070	0	180500	0	bachelor	24.6	29	18.1	11.7
15-2021	Mathematicians	annual	112560	0	56200	0	111110	0	167250	0	master	3.5	4.2	21.4	1.3
15-2031	Operations research analysts	annual	84180	0	43520	0	78630	0	132500	0	bachelor	91.3	118.9	30.2	43.9
15-2041	Statisticians	annual	84440	0	44900	0	80110	0	130630	0	master	30	40.1	33.8	15.4
15-2091	Mathematical technicians	annual	53630	0	28390	0	46600	0	87770	0	bachelor	1.2	1.1	-12.6	0.2
15-2099	Mathematical science occupations, all other	annual	78310	0	30040	0	66210	0	160020	0	bachelor	1.8	1.9	5.7	0.4
17-1011	Architects, except landscape and naval	annual	82850	0	46080	0	76100	0	125520	0	bachelor	112.6	120.4	6.9	26.3
17-1012	Landscape architects	annual	68600	0	40230	0	63810	0	104710	0	bachelor	22.5	23.7	5.5	4.9
17-1021	Cartographers and photogrammetrists	annual	65410	0	39470	0	61880	0	98210	0	bachelor	12.3	15.9	29.3	7.4
